Net,li1,met1,met2,met3,
N0250,100.00%,100.00%,0.00%,NA,
N0252,100.00%,100.00%,0.00%,NA,
N0253,100.00%,100.00%,100.00%,NA,
N0254,100.00%,100.00%,52.85%,NA,
N0255,100.00%,100.00%,100.00%,NA,
N0256,100.00%,100.00%,100.00%,NA,
N0257,50.00%,93.37%,100.00%,NA,
N0258,100.00%,100.00%,100.00%,NA,
N0259,100.00%,100.00%,25.60%,0.00%,
N0260,100.00%,100.00%,100.00%,NA,
N0261,100.00%,100.00%,100.00%,NA,
N0262,100.00%,100.00%,100.00%,NA,
N0263,100.00%,100.00%,0.00%,NA,
N0264,100.00%,100.00%,100.00%,100.00%,
N0265,100.00%,100.00%,0.00%,NA,
N0266,100.00%,100.00%,100.00%,NA,
N0267,100.00%,100.00%,100.00%,100.00%,
N0268,100.00%,100.00%,46.20%,NA,
N0269,100.00%,100.00%,85.41%,100.00%,
N0270,100.00%,100.00%,100.00%,NA,
N0271,100.00%,100.00%,100.00%,NA,
N0272,100.00%,100.00%,100.00%,NA,
N0273,100.00%,100.00%,100.00%,NA,
N0274,100.00%,100.00%,100.00%,NA,
N0275,100.00%,100.00%,100.00%,NA,
N0276,100.00%,100.00%,100.00%,NA,
N0277,100.00%,100.00%,0.00%,NA,
N0278,100.00%,100.00%,100.00%,100.00%,
N0279,100.00%,100.00%,0.00%,NA,
N0280,100.00%,100.00%,NA,NA,
N0281,50.00%,91.87%,0.00%,NA,
N0282,100.00%,100.00%,100.00%,NA,
N0283,100.00%,100.00%,100.00%,NA,
N0284,50.00%,100.00%,100.00%,NA,
N0285,100.00%,100.00%,100.00%,NA,
N0286,100.00%,100.00%,81.75%,0.00%,
N0287,100.00%,100.00%,100.00%,0.00%,
N0288,100.00%,100.00%,100.00%,NA,
N0289,100.00%,100.00%,0.00%,NA,
N0294,100.00%,100.00%,100.00%,NA,
N0295,100.00%,100.00%,100.00%,NA,
N0298,100.00%,95.81%,80.68%,NA,
N0299,100.00%,100.00%,86.69%,NA,
N0300,100.00%,100.00%,94.66%,NA,
N0301,100.00%,100.00%,100.00%,NA,
N0302,100.00%,100.00%,88.20%,NA,
N0303,100.00%,100.00%,40.72%,NA,
N0304,100.00%,100.00%,100.00%,NA,
Total,98.06%,93.37%,76.31%,86.48%,86.32%,
